id,name,format,likeCount,viewCount,commentCount,publicUrl,publicId,quantity,boardType,finish,isFoil,isAlter,isProxy,useCmcOverride,useManaCostOverride,useColorIdentityOverride,excludedFromColor,info.id,info.uniqueCardId,info.scryfall_id,info.set,info.set_name,info.name,info.cn,info.layout,info.cmc,info.type,info.type_line,info.oracle_text,info.mana_cost,info.colors,info.color_indicator,info.color_identity,info.legalities,info.frame,info.reserved,info.digital,info.foil,info.nonfoil,info.etched,info.glossy,info.rarity,info.border_color,info.colorshifted,info.lang,info.latest,info.has_multiple_editions,info.has_arena_legal,info.prices,info.card_faces,info.artist,info.promo_types,info.cardHoarderUrl,info.cardMarketUrl,info.tcgPlayerUrl,info.isArenaLegal,info.released_at,info.edhrec_rank,info.cardmarket_id,info.tcgplayer_id,info.reprint,info.set_type,info.acorn,info.image_seq,info.content_warning,info.isPauperCommander,info.isCovered,info.allRaritiesMask,info.isToken,info.defaultFinish,description,power,toughness,visibility,areCommentsEnabled,isShared,authorsCanEdit,createdByUser,authors,requestedAuthors,main,mainboardCount,mainboard,uniqueCardId,scryfall_id,set,set_name,cn,layout,cmc,type,type_line,oracle_text,mana_cost,colors,color_indicator,color_identity,legalities,frame,reserved,digital,foil,nonfoil,etched,glossy,rarity,border_color,colorshifted,flavor_text,lang,latest,has_multiple_editions,has_arena_legal,prices,card_faces,artist,promo_types,cardHoarderUrl,cardKingdomUrl,cardMarketUrl,tcgPlayerUrl,isArenaLegal,released_at,edhrec_rank,multiverse_ids,mtgo_id,tcgplayer_id,cardmarket_id,coolStuffIncFoilUrl,cardkingdom_foil_id,cardKingdomFoilUrl,cardkingdom_id,reprint,set_type,coolStuffIncUrl,acorn,image_seq,cardTraderUrl,cardTraderFoilUrl,cardTraderEtchedUrl,content_warning,starcitygames_sku,starcitygames_url,starcitygames_foil_sku,starcitygames_foil_url,starcitygames_etched_sku,starcitygames_etched_url,arena_id,loyalty,meld_part,meld_result,cardkingdom_etched_id,cardKingdomEtchedUrl,frame_effects,isToken,defaultFinish,isPauperCommander,isCovered,manapool_url,allRaritiesMask,isTemporary,flavor_name,info.flavor_text,info.coolStuffIncUrl,info.power,info.toughness,info.frame_effects,info.coolStuffIncFoilUrl,Deck Section,info.arena_id,info.starcitygames_sku,info.starcitygames_url,info.starcitygames_foil_sku,info.starcitygames_foil_url,info.manapool_url,info.starcitygames_etched_sku,info.starcitygames_etched_url,info.cardKingdomUrl,info.multiverse_ids,info.mtgo_id,info.cardkingdom_id
n04Kmx,Quandrix Unlimited (Secrets of Strixhaven Commander Precon Decklist),commanderPrecons,59.0,26802.0,2.0,https://moxfield.com/decks/gGtJmNlez06i3p6Kved35g,gGtJmNlez06i3p6Kved35g,1.0,mainboard,nonFoil,False,False,False,True,True,True,False,DAbv5,kOgBK,318486e0-f255-40f5-8150-dc272eec9d7d,sos,Secrets of Strixhaven,Quandrix Charm,217,normal,2.0,5,Instant,"Choose one —
• Counter target spell unless its spell controller pays {2}.
• Destroy target enchantment.
• Target creature has base power and toughness 5/5 until end of turn.",{G}{U},"['G', 'U']",[],"['G', 'U']","{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'timeless': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'modern': 'not_legal', 'legacy': 'not_legal', 'pauper': 'not_legal', 'vintage': 'not_legal', 'penny': 'not_legal', 'commander': 'not_legal', 'oathbreaker': 'not_legal', 'standardbrawl': 'not_legal', 'brawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'not_legal', 'oldschool': 'not_legal', 'premodern': 'not_legal', 'predh': 'not_legal'}",2015,False,False,True,True,False,False,uncommon,black,False,en,False,True,True,"{'usd': 2.95, 'usd_foil': 3.0, 'lastUpdatedAtUtc': '2026-04-03T10:41:26.703Z'}",[],Matheus Graef,[],https://www.cardhoarder.com/cards?affiliate_id=moxfield&data%5Bsearch%5D=Quandrix+Charm&ref=card-profile&utm_campaign=affiliate&utm_medium=card&utm_source=moxfield,https://www.cardmarket.com/en/Magic/Products?idProduct=880530&referrer=moxfield&utm_campaign=card_prices&utm_medium=text&utm_source=moxfield,https://partner.tcgplayer.com/c/4949650/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F686602%3Fpage%3D1,True,2026-04-24,29287.0,880530.0,686602.0,False,expansion,False,291098650,False,False,True,2,False,nonFoil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n04Kmx,Quandrix Unlimited (Secrets of Strixhaven Commander Precon Decklist),commanderPrecons,59.0,26802.0,2.0,https://moxfield.com/decks/gGtJmNlez06i3p6Kved35g,gGtJmNlez06i3p6Kved35g,1.0,mainboard,nonFoil,False,False,False,True,True,True,False,oWm0W,LD1bX,ef261999-1c18-46f3-bbd6-72911e14328f,soc,Secrets of Strixhaven Commander,Expansion Algorithm,19,normal,2.0,4,Sorcery,"Proliferate X times. (To proliferate, choose any number of permanents and/or players, then give each another counter of each kind already there.)",{X}{U}{U},['U'],[],['U'],"{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'timeless': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'modern': 'not_legal', 'legacy': 'not_legal', 'pauper': 'not_legal', 'vintage': 'not_legal', 'penny': 'not_legal', 'commander': 'not_legal', 'oathbreaker': 'not_legal', 'standardbrawl': 'not_legal', 'brawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'not_legal', 'oldschool': 'not_legal', 'premodern': 'not_legal', 'predh': 'not_legal'}",2015,False,False,True,True,False,False,rare,black,False,en,True,False,False,"{'usd': 9.94, 'lastUpdatedAtUtc': '2026-04-03T10:41:26.703Z', 'csi': 0.0, 'csi_buy': 0.0, 'csi_buy_qty': 0}",[],Serena Malyon,[],https://www.cardhoarder.com/cards?affiliate_id=moxfield&data%5Bsearch%5D=Expansion+Algorithm&ref=card-profile&utm_campaign=affiliate&utm_medium=card&utm_source=moxfield,https://www.cardmarket.com/en/Magic/Products/Search?referrer=moxfield&searchString=Expansion+Algorithm&utm_campaign=card_prices&utm_medium=text&utm_source=moxfield,https://partner.tcgplayer.com/c/4949650/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F687344%3Fpage%3D1,False,2026-04-24,,,687344.0,False,commander,False,290861169,False,False,True,4,False,nonFoil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""When you find an equation that works, all that's left is finding its many applications.""
—Zimone",http://www.coolstuffinc.com/p/Magic%3A+The+Gathering/Expansion+Algorithm,,,,,,,,,,,,,,,,,
n04Kmx,Quandrix Unlimited (Secrets of Strixhaven Commander Precon Decklist),commanderPrecons,59.0,26802.0,2.0,https://moxfield.com/decks/gGtJmNlez06i3p6Kved35g,gGtJmNlez06i3p6Kved35g,1.0,mainboard,nonFoil,False,False,False,True,True,True,False,j4Aj7,Yxb6Q,d9ed2ef7-9433-4f2f-957b-b58d2ec391fe,soc,Secrets of Strixhaven Commander,Nexus Mentality,21,normal,4.0,5,Instant,"Choose one. If you control a commander as you cast this spell, you may choose both instead.
• Move all counters from target nonland permanent you control onto another target nonland permanent you control.
• Remove all counters from target nonland permanent you control. Draw a card for each counter removed this way.",{3}{U},['U'],[],['U'],"{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'timeless': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'modern': 'not_legal', 'legacy': 'not_legal', 'pauper': 'not_legal', 'vintage': 'not_legal', 'penny': 'not_legal', 'commander': 'not_legal', 'oathbreaker': 'not_legal', 'standardbrawl': 'not_legal', 'brawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'not_legal', 'oldschool': 'not_legal', 'premodern': 'not_legal', 'predh': 'not_legal'}",2015,False,False,True,True,False,False,rare,black,False,en,True,False,False,"{'lastUpdatedAtUtc': '2026-04-03T10:41:26.703Z', 'csi': 0.0, 'csi_buy': 0.0, 'csi_buy_qty': 0}",[],Lie Setiawan,[],https://www.cardhoarder.com/cards?affiliate_id=moxfield&data%5Bsearch%5D=Nexus+Mentality&ref=card-profile&utm_campaign=affiliate&utm_medium=card&utm_source=moxfield,https://www.cardmarket.com/en/Magic/Products/Search?referrer=moxfield&searchString=Nexus+Mentality&utm_campaign=card_prices&utm_medium=text&utm_source=moxfield,https://partner.tcgplayer.com/c/4949650/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F687347%3Fpage%3D1,False,2026-04-24,,,687347.0,False,commander,False,290861329,False,False,True,4,False,nonFoil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.coolstuffinc.com/p/Magic%3A+The+Gathering/Nexus+Mentality,,,,,,,,,,,,,,,,,
n04Kmx,Quandrix Unlimited (Secrets of Strixhaven Commander Precon Decklist),commanderPrecons,59.0,26802.0,2.0,https://moxfield.com/decks/gGtJmNlez06i3p6Kved35g,gGtJmNlez06i3p6Kved35g,1.0,mainboard,nonFoil,False,False,False,True,True,True,False,61Z4R,kAzZw,a2d14b99-15e2-4e96-89a2-7e0ee5dc059f,soc,Secrets of Strixhaven Commander,"Primo, the Unbounded",6,normal,3.0,3,Legendary Creature — Fractal Wolf,"Trample
Primo enters with twice X +1/+1 counters on it.
Whenever one or more creatures you control with base power 0 deal combat damage to a player, create a 0/0 green and blue Fractal creature token. Put a number of +1/+1 counters on it equal to the damage dealt.",{X}{G}{G}{U},"['G', 'U']",[],"['G', 'U']","{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'timeless': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'modern': 'not_legal', 'legacy': 'not_legal', 'pauper': 'not_legal', 'vintage': 'not_legal', 'penny': 'not_legal', 'commander': 'not_legal', 'oathbreaker': 'not_legal', 'standardbrawl': 'not_legal', 'brawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'not_legal', 'oldschool': 'not_legal', 'premodern': 'not_legal', 'predh': 'not_legal'}",2015,False,False,True,True,False,False,mythic,black,False,en,True,False,False,{'lastUpdatedAtUtc': '2026-04-03T10:41:26.703Z'},[],Aldo Domínguez,[],https://www.cardhoarder.com/cards?affiliate_id=moxfield&data%5Bsearch%5D=Primo%2C+the+Unbounded&ref=card-profile&utm_campaign=affiliate&utm_medium=card&utm_source=moxfield,https://www.cardmarket.com/en/Magic/Products/Search?referrer=moxfield&searchString=Primo%2C+the+Unbounded&utm_campaign=card_prices&utm_medium=text&utm_source=moxfield,https://partner.tcgplayer.com/c/4949650/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F687516%3Fpage%3D1,False,2026-04-24,,,687516.0,False,commander,False,290861381,False,False,True,8,False,nonFoil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,['legendary'],,,,,,,,,,,,,,
n04Kmx,Quandrix Unlimited (Secrets of Strixhaven Commander Precon Decklist),commanderPrecons,59.0,26802.0,2.0,https://moxfield.com/decks/gGtJmNlez06i3p6Kved35g,gGtJmNlez06i3p6Kved35g,1.0,mainboard,nonFoil,False,False,False,True,True,True,False,0vZqJ,EJ1A4,51aa3511-e588-4b40-b98c-c5dc3a05bb2d,soc,Secrets of Strixhaven Commander,Lattice Library,40,normal,2.0,7,Enchantment,"This enchantment enters with X study counters on it.
When this enchantment enters and whenever you cast your first spell with {X} in its mana cost each turn, create a 0/0 green and blue Fractal creature token. Put a number of +1/+1 counters on it equal to the number of study counters on this enchantment.",{X}{G}{G},['G'],[],['G'],"{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'timeless': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'modern': 'not_legal', 'legacy': 'not_legal', 'pauper': 'not_legal', 'vintage': 'not_legal', 'penny': 'not_legal', 'commander': 'not_legal', 'oathbreaker': 'not_legal', 'standardbrawl': 'not_legal', 'brawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'not_legal', 'oldschool': 'not_legal', 'premodern': 'not_legal', 'predh': 'not_legal'}",2015,False,False,True,True,False,False,rare,black,False,en,True,False,False,"{'lastUpdatedAtUtc': '2026-04-03T10:41:26.703Z', 'csi': 0.0, 'csi_foil': 0.0, 'csi_buy': 0.0, 'csi_buy_foil': 0.0, 'csi_buy_qty': 0, 'csi_buy_foil_qty': 0}",[],Constantin Marin,[],https://www.cardhoarder.com/cards?affiliate_id=moxfield&data%5Bsearch%5D=Lattice+Library&ref=card-profile&utm_campaign=affiliate&utm_medium=card&utm_source=moxfield,https://www.cardmarket.com/en/Magic/Products/Search?referrer=moxfield&searchString=Lattice+Library&utm_campaign=card_prices&utm_medium=text&utm_source=moxfield,https://partner.tcgplayer.com/c/4949650/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F687383%3Fpage%3D1,False,2026-04-24,,,687383.0,False,commander,False,290861277,False,False,True,4,False,nonFoil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.coolstuffinc.com/p/Magic%3A+The+Gathering/Lattice+Library,,,['enchantment'],http://www.coolstuffinc.com/p/Magic%3A+The+Gathering/Lattice+Library,,,,,,,,,,,,,
n04Kmx,Quandrix Unlimited (Secrets of Strixhaven Commander Precon Decklist),commanderPrecons,59.0,26802.0,2.0,https://moxfield.com/decks/gGtJmNlez06i3p6Kved35g,gGtJmNlez06i3p6Kved35g,1.0,mainboard,nonFoil,False,False,False,True,True,True,False,8RZ44,Lmpd3,f18ee3a2-997e-47e6-96b9-7438307f4bc5,soc,Secrets of Strixhaven Commander,Kinetic Ooze,39,normal,1.0,3,Creature — Ooze,"This creature enters with X +1/+1 counters on it.
When this creature enters, destroy up to one target artifact or enchantment with mana value X or less. If X is 5 or more, you draw a card. If X is 10 or more, double the number of +1/+1 counters on any number of other target creatures.",{X}{G},['G'],[],['G'],"{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'timeless': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'modern': 'not_legal', 'legacy': 'not_legal', 'pauper': 'not_legal', 'vintage': 'not_legal', 'penny': 'not_legal', 'commander': 'not_legal', 'oathbreaker': 'not_legal', 'standardbrawl': 'not_legal', 'brawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'not_legal', 'oldschool': 'not_legal', 'premodern': 'not_legal', 'predh': 'not_legal'}",2015,False,False,True,True,False,False,rare,black,False,en,True,False,False,"{'lastUpdatedAtUtc': '2026-04-03T10:41:26.703Z', 'csi': 0.0, 'csi_buy': 0.0, 'csi_buy_qty': 0}",[],Raph Lomotan,[],https://www.cardhoarder.com/cards?affiliate_id=moxfield&data%5Bsearch%5D=Kinetic+Ooze&ref=card-profile&utm_campaign=affiliate&utm_medium=card&utm_source=moxfield,https://www.cardmarket.com/en/Magic/Products/Search?referrer=moxfield&searchString=Kinetic+Ooze&utm_campaign=card_prices&utm_medium=text&utm_source=moxfield,https://partner.tcgplayer.com/c/4949650/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F687379%3Fpage%3D1,False,2026-04-24,,,687379.0,False,commander,False,290861281,False,False,True,4,False,nonFoil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.coolstuffinc.com/p/Magic%3A+The+Gathering/Kinetic+Ooze,0,0,,,,,,,,,,,,,,,
n04Kmx,Quandrix Unlimited (Secrets of Strixhaven Commander Precon Decklist),commanderPrecons,59.0,26802.0,2.0,https://moxfield.com/decks/gGtJmNlez06i3p6Kved35g,gGtJmNlez06i3p6Kved35g,1.0,mainboard,nonFoil,False,False,False,True,True,True,False,BDZ2Q,LK1nm,94cf1461-5e4f-4980-8ef9-293421af621f,soc,Secrets of Strixhaven Commander,"Nev, the Practical Dean",41,normal,3.0,3,Legendary Creature — Merfolk Wizard,"Creatures you control with counters on them have trample.
Whenever you cast your first spell with {X} in its mana cost each turn, put X +1/+1 counters on Nev.",{2}{G},['G'],[],['G'],"{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'timeless': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'modern': 'not_legal', 'legacy': 'not_legal', 'pauper': 'not_legal', 'vintage': 'not_legal', 'penny': 'not_legal', 'commander': 'not_legal', 'oathbreaker': 'not_legal', 'standardbrawl': 'not_legal', 'brawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'not_legal', 'oldschool': 'not_legal', 'premodern': 'not_legal', 'predh': 'not_legal'}",2015,False,False,True,True,False,False,rare,black,False,en,True,False,False,"{'usd': 9.9, 'lastUpdatedAtUtc': '2026-04-03T10:41:26.703Z', 'csi': 0.0, 'csi_buy': 0.0, 'csi_buy_qty': 0}",[],Lie Setiawan,[],https://www.cardhoarder.com/cards?affiliate_id=moxfield&data%5Bsearch%5D=Nev%2C+the+Practical+Dean&ref=card-profile&utm_campaign=affiliate&utm_medium=card&utm_source=moxfield,https://www.cardmarket.com/en/Magic/Products/Search?referrer=moxfield&searchString=Nev%2C+the+Practical+Dean&utm_campaign=card_prices&utm_medium=text&utm_source=moxfield,https://partner.tcgplayer.com/c/4949650/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F687392%3Fpage%3D1,False,2026-04-24,,,687392.0,False,commander,False,290861332,False,False,True,4,False,nonFoil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Adrix and I have always debated for the betterment of our students. That won't change now we're both deans.""",http://www.coolstuffinc.com/p/Magic%3A+The+Gathering/Nev%2C+the+Practical+Dean,2,2,['legendary'],,,,,,,,,,,,,,
n04Kmx,Quandrix Unlimited (Secrets of Strixhaven Commander Precon Decklist),commanderPrecons,59.0,26802.0,2.0,https://moxfield.com/decks/gGtJmNlez06i3p6Kved35g,gGtJmNlez06i3p6Kved35g,1.0,mainboard,nonFoil,False,False,False,True,True,True,False,NAPrn,Yxb69,fc962e45-ab71-47e2-b736-644901ffe7d6,soc,Secrets of Strixhaven Commander,Yavimaya Bloomsage // Channel,44,adventure,3.0,3,Creature — Dryad Druid // Sorcery,,{2}{G} // {G}{G},['G'],[],['G'],"{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'timeless': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'modern': 'not_legal', 'legacy': 'not_legal', 'pauper': 'not_legal', 'vintage': 'not_legal', 'penny': 'not_legal', 'commander': 'not_legal', 'oathbreaker': 'not_legal', 'standardbrawl': 'not_legal', 'brawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'not_legal', 'oldschool': 'not_legal', 'premodern': 'not_legal', 'predh': 'not_legal'}",2015,False,False,True,True,False,False,rare,black,False,en,True,False,False,{'lastUpdatedAtUtc': '2026-04-03T10:41:26.703Z'},"[{'id': 'LRmel', 'name': 'Yavimaya Bloomsage', 'mana_cost': '{2}{G}', 'type_line': 'Creature — Dryad Druid', 'oracle_text': ""At the beginning of your end step, put a +1/+1 counter on target creature you control. Then if that creature has power 7 or greater, this creature becomes prepared. (While it's prepared, you may cast a copy of its spell. Doing so unprepares it.)"", 'colors': [], 'color_indicator': [], 'power': '2', 'toughness': '2', 'image_seq': 290536880}, {'id': 'kp0Zd', 'name': 'Channel', 'mana_cost': '{G}{G}', 'type_line': 'Sorcery', 'oracle_text': 'Until end of turn, any time you could activate a mana ability, you may pay 1 life. If you do, add {C}.', 'colors': [], 'color_indicator': [], 'image_seq': 290536882}]",Justyna Dura,[],https://www.cardhoarder.com/cards?affiliate_id=moxfield&data%5Bsearch%5D=Yavimaya+Bloomsage&ref=card-profile&utm_campaign=affiliate&utm_medium=card&utm_source=moxfield,https://www.cardmarket.com/en/Magic/Products/Search?referrer=moxfield&searchString=Yavimaya+Bloomsage&utm_campaign=card_prices&utm_medium=text&utm_source=moxfield,https://partner.tcgplayer.com/c/4949650/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F687439%3Fpage%3D1,False,2026-04-24,,,687439.0,False,commander,False,290861578,False,False,True,4,False,nonFoil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,
n04Kmx,Quandrix Unlimited (Secrets of Strixhaven Commander Precon Decklist),commanderPrecons,59.0,26802.0,2.0,https://moxfield.com/decks/gGtJmNlez06i3p6Kved35g,gGtJmNlez06i3p6Kved35g,1.0,mainboard,nonFoil,False,False,False,True,True,True,False,AJZ6a,L4lJ6,7dbab676-0bc4-47a8-9fd2-1f58c6bd71bd,soc,Secrets of Strixhaven Commander,Brass Infiniscope,51,normal,4.0,6,Artifact,"{T}: Add {C}{C}. When you next cast a spell with {X} in its mana cost this turn, you draw a card and gain half X life, rounded down.",{4},[],[],[],"{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'timeless': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'modern': 'not_legal', 'legacy': 'not_legal', 'pauper': 'not_legal', 'vintage': 'not_legal', 'penny': 'not_legal', 'commander': 'not_legal', 'oathbreaker': 'not_legal', 'standardbrawl': 'not_legal', 'brawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'not_legal', 'oldschool': 'not_legal', 'premodern': 'not_legal', 'predh': 'not_legal'}",2015,False,False,True,True,False,False,rare,black,False,en,True,False,False,{'lastUpdatedAtUtc': '2026-04-03T10:41:26.703Z'},[],Nino Vecia,[],https://www.cardhoarder.com/cards?affiliate_id=moxfield&data%5Bsearch%5D=Brass+Infiniscope&ref=card-profile&utm_campaign=affiliate&utm_medium=card&utm_source=moxfield,https://www.cardmarket.com/en/Magic/Products/Search?referrer=moxfield&searchString=Brass+Infiniscope&utm_campaign=card_prices&utm_medium=text&utm_source=moxfield,https://partner.tcgplayer.com/c/4949650/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F687515%3Fpage%3D1,False,2026-04-24,,,687515.0,False,commander,False,290861037,False,False,True,4,False,nonFoil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Styluses are tools used by students to channel their magic. For young Quandrix mages, they can help navigate difficult calculations and focus perspective.",,,,,,,,,,,,,,,,,,
n04Kmx,Quandrix Unlimited (Secrets of Strixhaven Commander Precon Decklist),commanderPrecons,59.0,26802.0,2.0,https://moxfield.com/decks/gGtJmNlez06i3p6Kved35g,gGtJmNlez06i3p6Kved35g,1.0,mainboard,nonFoil,False,False,False,True,True,True,False,n4POZ,Y857O,8e6266b5-9a02-4b06-b80c-048926a4eda7,soc,Secrets of Strixhaven Commander,Owlin Spiralmancer,22,normal,4.0,3,Creature — Bird Wizard,"Flying, vigilance
Whenever you cast your first spell with {X} in its mana cost each turn, you may copy it. You may choose new targets for the copy. (A copy of a permanent spell becomes a token.)",{3}{U},['U'],[],['U'],"{'standard': 'not_legal', 'future': 'not_legal', 'historic': 'not_legal', 'timeless': 'not_legal', 'gladiator': 'not_legal', 'pioneer': 'not_legal', 'modern': 'not_legal', 'legacy': 'not_legal', 'pauper': 'not_legal', 'vintage': 'not_legal', 'penny': 'not_legal', 'commander': 'not_legal', 'oathbreaker': 'not_legal', 'standardbrawl': 'not_legal', 'brawl': 'not_legal', 'alchemy': 'not_legal', 'paupercommander': 'not_legal', 'duel': 'not_legal', 'oldschool': 'not_legal', 'premodern': 'not_legal', 'predh': 'not_legal'}",2015,False,False,True,True,False,False,rare,black,False,en,True,False,False,"{'lastUpdatedAtUtc': '2026-04-03T10:41:26.703Z', 'csi': 0.0, 'csi_buy': 0.0, 'csi_buy_qty': 0}",[],Matheus Graef,[],https://www.cardhoarder.com/cards?affiliate_id=moxfield&data%5Bsearch%5D=Owlin+Spiralmancer&ref=card-profile&utm_campaign=affiliate&utm_medium=card&utm_source=moxfield,https://www.cardmarket.com/en/Magic/Products/Search?referrer=moxfield&searchString=Owlin+Spiralmancer&utm_campaign=card_prices&utm_medium=text&utm_source=moxfield,https://partner.tcgplayer.com/c/4949650/1830156/21018?subId1=api&u=https%3A%2F%2Fwww.tcgplayer.com%2Fproduct%2F687348%3Fpage%3D1,False,2026-04-24,,,687348.0,False,commander,False,290861340,False,False,True,4,False,nonFoil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""I come up here to practice. You can see the entire Garden twisting reality. It's inspiring.""",http://www.coolstuffinc.com/p/Magic%3A+The+Gathering/Owlin+Spiralmancer,3,4,,,,,,,,,,,,,,,
